Nombre_jugador,Edad,xG,xA,xG_90,xA_90,Duelos/90,"Duelos ganados, %",Regates/90,duelos_exitosos,indice_ofensivo,titularidad_ratio,contribucion_90,indice_disponibilidad,valor_por_minuto,edad_categoria,posicion,contribucion_x_edad,xG_90_x_delantero,posicion_delanteros,posicion_extremos,posicion_mediocentros,edad_categoria_Prime,edad_categoria_Senior,edad_categoria_Veterano,eficiencia_goles,eficiencia_asist
Facundo Romero,23,7.323101165546834,8.190499781992036,0.7518372253854442,0.494848401599829,5.681695705121868,43.03453312434656,3.0722571026145493,9.167485126725689,0.8527461078518748,0.7818816774994152,0.99743480597392,0.7815200056105693,266.94634837518333,Veterano,delanteros,22.94100053740016,0.7518372253854442,1,0,0,0,0,1,9.74027478061159,16.551533268597844
Gabriel Torreira,36,6.41181896641661,5.596488034834677,0.8597024885906072,0.3484153612916119,9.214447843883455,45.15518887642597,1.759905921471279,6.611919834690959,0.4381827810467265,0.6043791370226224,0.4171441299196978,0.3474859413736203,766.1911692974435,Veterano,extremos,15.017188677109122,0.0,0,1,0,0,0,1,7.458183559440569,16.0626902731496
Nicolás Brown,31,8.883406151505632,5.343540725724464,0.5011577529795982,1.1508606522972016,19.25617226114838,45.1218335583109,3.962718199363716,7.468081251017858,0.2994413927593451,0.4724814232673747,1.4885192139780694,0.5106744968627713,163.08590670359646,Veterano,defensa,46.14409563332015,0.0,0,0,0,0,0,1,17.72576818115646,4.6430823011094935
Lucas Pérez,27,4.7749277591032975,2.494337679914472,0.927166564796615,1.2295686349741697,18.353956758363744,46.07610774049177,1.3416968685088553,14.261966754565414,0.4431721909994541,0.8733716223719397,0.5011732117984764,0.7957204620516971,249.2991445945394,Veterano,defensa,13.531676718558863,0.0,0,0,0,0,0,1,5.15002151760157,2.028628259508972
Nicolás Silva,24,1.283983034789187,1.0217174012784025,0.1427003499146692,1.4867071988009426,11.834851291785691,45.55308690597641,1.9565565638190965,3.1469196436251226,0.9222669318556592,0.8595911152782854,1.4255513063756633,0.3471454210281401,854.1542247830325,Juvenil,extremos,34.21323135301592,0.0,0,1,0,0,0,0,8.99775673680529,0.6872351207436386
Daniel Silva,23,7.16112339350765,8.982436003737934,0.1522874642489002,0.677664747675997,14.301988967023052,65.63498979212858,2.414463973773876,9.207217648235162,1.0556964681062857,0.7862875295980987,1.044540643690079,0.7075193221233913,352.15993268181467,Senior,defensa,24.024434804871817,0.0,0,0,0,0,1,0,47.02372206948982,13.254984908898622
Thiago Bentancur,35,7.631771981307285,9.014138765916972,1.2516407849235216,0.6208253201098964,9.16071774471699,47.2752033759658,2.784246704080048,8.082441504382523,1.0302198645669915,0.4905015960609739,0.990057833342517,0.5421181398670697,1178.3276116969605,Senior,delanteros,34.65202416698809,1.2516407849235216,1,0,0,0,1,0,6.09741394914165,14.51960555397663
Agustín Paredes,27,5.656644255938012,6.367704427005353,0.604266897975768,1.1869781450387955,7.82181739585642,53.826691332954525,1.590843795867861,9.56035929608507,0.5971835296184549,0.713161466808361,0.8664950643214613,0.7346408624372339,1409.9834413608048,Senior,portero,23.395366736679456,0.0,0,0,0,0,1,0,9.36116850829855,5.364634937568483
Ethan Brown,27,7.732575081550154,3.4563949313821367,0.2778847177126387,0.577124956354225,11.955476074099732,75.87153639624047,1.016765711326416,1.2535425734917671,0.8680851365706461,0.5526817278580187,0.4998707552330863,0.332019423668759,1621.114728307257,Senior,delanteros,13.49651039129333,0.2778847177126387,1,0,0,0,1,0,27.82655752068536,5.988988854712924
Lautaro Silva,20,4.9885764040074685,3.557174788665343,0.8311405640767261,1.4030602558449907,10.300283420390793,58.95846561051489,3.2477901909873466,13.20973472521812,0.404984295415821,0.3641074513286438,0.4294864416071607,0.9100757643066631,480.2854640651392,Prime,delanteros,8.589728832143216,0.8311405640767261,1,0,0,1,0,0,6.0020851100548045,2.535297236057079
Enzo Pérez,24,5.275055010881741,7.286961220815369,1.1779909743380552,1.3017778525802166,13.754841677763082,66.70230954084109,1.798837489581151,14.049655954770571,0.4931477302610133,0.9421195028235698,0.4866320717912279,0.981442278424178,418.2169062922325,Senior,defensa,11.67916972298947,0.0,0,0,0,0,1,0,4.478009701089548,5.597699489488235
